,control1,lps1,control2,lps2,control3,lps3
FZD7,120,317,445,370,109,186
FZD8,28,28,99,58,24,34
FZD9,39,17,9,25,45,22
FZR1,1525,1576,1311,1567,1590,1930
G0S2,169,1290,377,3298,92,1806
G2E3,1371,1245,1145,1008,1237,1091
G3BP1,19342,13064,11710,9873,11402,11218
G3BP2,9581,9382,10401,12021,7928,8829
G6PC,0,1,0,0,0,0
G6PC2,0,0,0,0,0,0
G6PC3,3177,1394,2311,1039,2663,1288
G6PD,21259,20458,32098,18070,17084,19942
GAA,15729,10308,11228,8628,17722,7322
GAB1,685,605,564,636,719,694
GAB2,1934,2746,1358,3106,2924,3008
GAB3,1730,1381,935,813,2060,1405
GAB4,0,0,0,0,0,0
GABARAP,12042,10871,10993,8397,15429,10441
GABARAPL1,2405,6522,4817,6572,3543,6942
GABARAPL2,2425,2546,3751,2639,2241,2408
GABARAPL3,1,1,1,4,2,6
GABBR1,535,513,244,800,635,608
GABBR2,6,0,24,0,3,0
GABPA,2547,2038,2507,1896,2332,2004
GABPB1,898,1021,868,941,763,994
GABPB1-AS1,275,156,212,116,104,97
GABPB2,273,294,237,257,306,306
GABRA1,0,0,0,0,0,0
GABRA2,0,0,0,0,0,0
GABRA3,0,0,0,0,0,0
GABRA4,1,1,15,0,1,0
GABRA5,0,0,0,0,0,0
GABRA6,0,0,0,0,0,0
GABRB1,0,0,0,0,0,1
GABRB2,0,0,0,0,0,0
GABRB3,0,0,8,1,8,2
GABRD,0,0,0,0,0,0
GABRE,6,8,7,16,0,2
GABRG1,0,0,1,0,0,0
GABRG2,4,0,3,0,2,0
GABRG3,0,0,0,0,0,0
GABRP,0,0,0,0,0,0
GABRQ,0,0,0,0,0,0
GABRR1,0,0,0,1,0,0
GABRR2,38,44,58,73,21,71
GABRR3,0,2,2,4,0,2
GAD1,7,20,0,33,43,45
GAD2,0,0,0,0,0,0
GADD45A,517,468,452,832,260,359
GADD45B,235,763,294,2922,203,544
GADD45G,152,1760,377,1666,221,1169
GADD45GIP1,2262,1559,1394,1045,1865,1579
GADL1,1,0,0,0,0,0
GAGE1,0,0,0,0,0,0
GAGE12C,0,0,0,0,0,0
GAGE12D,0,0,0,0,0,0
GAGE12E,0,0,0,0,0,0
GAGE12G,0,0,0,0,0,0
GAGE12H,0,0,0,0,0,0
GAGE12I,0,0,0,0,0,1
GAGE12J,0,0,0,0,0,0
GAGE2A,0,0,0,0,0,0
GAGE2C,0,0,0,0,0,0
GAGE2E,0,0,0,0,0,0
GAK,8775,9645,9126,11147,7873,9641
GAL,1737,955,6406,3098,4133,6195
GAL3ST1,1,0,0,0,1,1
GAL3ST2,0,2,2,14,1,2
GAL3ST3,2,0,1,0,6,1
GAL3ST4,2088,50,33,33,6105,43
GALC,3433,2325,3355,2114,6309,2443
GALE,1463,745,1739,673,1536,1010
GALK1,1370,349,945,474,984,323
GALK2,781,568,627,486,814,515
GALM,11009,1655,9162,2151,8055,1805
GALNS,3374,3098,6471,4313,3957,4111
GALNT1,9404,3836,10404,3026,7729,4071
GALNT10,2377,1470,1994,1427,3186,1765
GALNT11,2058,1115,2187,941,2149,1148
GALNT12,2531,245,6089,481,2240,462
GALNT13,0,0,0,0,0,0
GALNT14,191,8,101,18,9,2
GALNT15,0,2,1,0,0,0
GALNT16,1,0,1,2,0,0
GALNT18,55,23,219,48,39,22
GALNT2,5665,6669,6075,5597,5469,7777
GALNT3,57,89,35,404,117,141
GALNT4,24,73,28,48,26,40
GALNT5,0,1,12,0,0,0
GALNT6,5909,6003,5592,6909,5876,7536
GALNT7,2861,1321,3298,1282,2577,1298
GALNT8,7,12,5,6,33,20
GALNT9,9,4,6,1,4,2
GALNTL5,0,0,0,0,0,0
GALNTL6,1,0,0,1,1,0
GALP,0,0,0,0,0,1
GALR1,30,0,2,3,8,3
GALR2,5,1,3,11,6,7
GALR3,0,1,1,0,0,0
GALT,791,331,478,458,854,342
GAMT,129,11,31,8,94,14
GAN,291,216,168,187,252,221
GANAB,17860,11596,14276,10465,17093,11585
GANC,1502,1186,1102,1225,1304,1099
GAP43,0,0,0,4,0,0
GAPDH,110399,71396,86460,55360,78793,80088
GAPDHS,109,36,73,29,81,42
GAPT,950,424,110,239,2232,485
GAPVD1,4908,4831,3991,3758,4760,5302
GAR1,497,192,280,165,389,235
GAREM,22,24,11,91,60,14
GAREML,36,89,43,97,36,88
GARNL3,24,5,25,12,44,7
GARS,9179,6705,8525,5869,7130,7286
GART,4800,2835,2624,3525,3209,2507
GAS1,25,3,16,3,7,4
GAS2,7,2,17,8,9,8
GAS2L1,2012,1676,1987,1317,1701,1816
GAS2L2,0,0,0,0,1,0
GAS2L3,1683,494,1086,195,2185,600
GAS5,1143,410,710,355,696,386
GAS5-AS1,39,19,41,17,44,16
GAS6,107,251,165,766,158,293
GAS6-AS1,61,17,41,11,55,27
GAS6-AS2,1,0,2,4,1,1
GAS7,21605,5074,9717,2784,22303,2404
GAS8,185,101,107,121,142,141
GAST,0,0,0,0,0,0
GATA1,1,1,2,0,2,0
GATA2,4,10,7,15,1,8
GATA3,45,85,32,52,52,102
GATA3-AS1,0,0,0,0,0,1
GATA4,0,0,0,1,0,0
GATA5,0,0,0,0,0,0
GATA6,0,0,0,40,0,2
GATA6-AS1,0,0,0,2,0,0
GATAD1,3107,3219,3173,3382,3473,3356
GATAD2A,7073,5038,6528,3976,5393,5504
GATAD2B,2513,2943,2535,3046,2345,3617
GATC,1873,1507,1505,1397,1765,1519
GATM,1301,132,918,224,1359,74
GATM-AS1,0,0,2,0,3,0
GATS,148,128,136,171,170,129
GATSL2,37,23,43,48,34,40
GATSL3,256,110,106,184,242,103
GBA,8164,11511,11471,13435,11917,12812
GBA2,2733,2460,2581,2321,3102,3123
GBA3,1,0,0,0,0,0
GBAP1,234,75,232,86,223,149
GBAS,3698,2305,4083,2198,4151,2347
GBE1,2470,2161,3746,1694,2664,2237
GBF1,6542,6470,5909,4888,6508,6967
GBGT1,2886,2516,1350,1896,3022,2436
GBP1,1643,31100,2240,45620,1869,19890
GBP1P1,2,394,2,1077,1,184
GBP2,2765,6957,2760,7177,1363,3544
GBP3,746,4340,1808,13905,1803,5732
GBP4,339,10781,612,26275,192,6111
GBP5,280,7883,364,19084,236,9164
GBP6,3,8,2,5,1,4
GBP7,0,3,5,154,0,2
GBX1,0,1,0,0,0,1
GBX2,0,0,0,0,0,0
GC,0,0,0,0,0,0
GCA,1965,3226,1814,2926,2022,3083
GCAT,34,81,35,42,23,79
GCC1,1320,1633,1149,1693,1458,1701
GCC2,3206,5148,3979,7441,2867,4856
GCDH,779,452,532,400,574,462
GCFC2,1092,472,766,434,511,321
GCG,0,0,0,0,0,0
GCGR,0,0,0,0,0,0
GCH1,210,8320,197,11228,160,6168
GCHFR,549,131,623,222,2219,189
GCK,0,0,1,1,0,0
GCKR,0,0,0,0,0,2
GCLC,20560,3023,39067,3079,15321,3542
GCLM,1457,1921,1693,2527,1510,2038
GCM1,3,1,4,2,0,0
GCM2,0,0,0,1,0,0
GCN1L1,10415,5774,8005,4894,7933,5675
GCNT1,3398,794,672,390,3848,909
GCNT2,1078,1572,1089,1658,1134,1503
GCNT3,6,2,3,2,5,2
GCNT4,5,209,29,667,25,176
GCNT7,26,43,33,52,39,64
GCOM1,10,1,0,0,4,2
GCSAM,8,3,2,42,33,12
GCSAML,7,5,21,34,18,8
GCSAML-AS1,37,22,59,52,36,24
GCSH,404,62,347,45,250,50
GCSHP3,252,64,244,37,155,78
GDA,10,5,36,9,12,14
GDAP1,397,345,512,499,479,436
GDAP1L1,3,0,0,0,1,0
GDAP2,1648,1691,1610,1322,1792,1917
GDE1,4739,3545,4001,3775,6283,4056
GDF1,0,0,0,0,0,0
GDF10,0,0,0,0,0,0
GDF11,110,38,41,35,77,60
GDF15,1398,1082,983,330,1306,1088
GDF2,0,0,0,0,0,0
GDF3,1,0,0,0,10,2
GDF5,0,1,0,0,0,0
GDF6,0,0,0,0,0,0
GDF7,0,0,0,0,0,0
GDF9,15,12,7,1,5,16
GDI1,5492,8895,7175,8233,6020,9221
GDI2,16040,10868,16550,11953,12851,11348
GDNF,3,0,0,0,0,0
GDNF-AS1,0,0,0,0,0,0
GDPD1,156,91,127,148,189,115
GDPD2,0,0,0,0,0,0
GDPD3,34,15,10,12,36,29
GDPD4,20,2,1,0,15,0
GDPD5,552,439,773,518,570,566
GDPGP1,187,137,119,93,159,113
GEM,854,686,2403,771,507,1245
GEMIN2,290,174,159,161,214,201
GEMIN4,1519,600,701,495,1500,1250
GEMIN5,1649,973,938,746,1139,940
GEMIN6,529,232,382,137,431,268
GEMIN7,459,292,317,329,445,350
GEMIN8,510,300,392,238,448,284
GEMIN8P4,27,27,29,35,20,32
GEN1,1441,923,998,1112,805,888
GET4,1212,1199,1073,1042,1201,1294
GFAP,6,32,17,41,8,53
GFER,651,509,439,428,600,542
GFI1,144,105,571,96,97,165
GFI1B,0,0,0,0,0,0
GFM1,4436,2167,3648,1282,3909,2114
GFM2,1941,1679,2047,1755,1422,1598
GFOD1,629,242,1767,330,667,733
GFOD2,623,576,511,462,620,579
GFPT1,3631,3384,3466,3967,3375,3368
GFPT2,19,997,47,2855,7,474
GFRA1,1,0,0,0,0,0
GFRA2,217,30,238,73,188,19
GFRA3,0,0,0,0,0,0
GFRA4,1,0,0,0,0,0
GFRAL,0,0,0,0,0,0
GFY,0,0,0,0,0,0
GGA1,5347,5188,5186,3831,7385,6053
GGA2,5191,2539,2512,2011,11365,2500
GGA3,4081,3821,2818,2751,4588,4020
GGACT,259,126,253,177,292,145
GGCT,2266,702,1879,500,1857,802
GGCX,2296,1771,2334,1412,2252,1770
GGH,922,621,663,780,632,834
GGN,18,50,28,48,9,58
GGNBP1,0,1,2,2,3,5
GGNBP2,3188,2956,3057,2915,3156,3097
GGPS1,1098,1113,914,1200,1234,1144
GGT1,487,674,1055,868,637,1016
GGT2,0,1,0,1,0,0
GGT3P,0,1,3,3,0,2
GGT5,2,3126,250,1418,0,2279
GGT6,0,1,0,0,0,0
GGT7,531,695,508,662,519,793
GGT8P,106,107,67,67,129,155
GGTA1P,466,88,461,195,810,94
GGTLC1,0,0,0,1,0,0
GGTLC2,0,0,0,0,0,0
GH1,0,0,0,0,0,0
GH2,0,0,0,0,0,0
GHDC,1336,721,978,828,1691,832
GHITM,11267,8561,14596,8943,11082,8931
GHR,1,0,0,0,0,0
GHRH,0,2,0,0,0,2
GHRHR,0,0,0,0,0,0
GHRL,35,40,34,11,14,19
GHRLOS,71,67,45,41,35,35
GHSR,0,0,0,1,0,0
GID4,1021,900,744,932,881,993
GID8,2843,2340,2681,1992,2671,2597
GIF,0,0,0,1,0,1
GIGYF1,3323,3461,2572,4001,3927,4089
GIGYF2,5844,3903,4617,3216,5703,4546
GIMAP1,750,338,262,195,871,256
GIMAP1-GIMAP5,0,0,0,0,0,0
GIMAP2,1155,1419,770,2320,1187,1120
GIMAP4,1439,2634,2511,5488,808,1239
GIMAP5,15,13,8,11,27,14
GIMAP6,1633,1311,653,2839,1348,607
GIMAP7,456,352,192,349,506,314
GIMAP8,1668,3805,1404,6390,1426,1837
GIMD1,0,0,0,0,0,0
GIN1,385,406,339,293,311,383
GINM1,1231,1963,1388,2559,1315,2131
GINS1,675,86,486,150,286,106
GINS2,320,7,26,10,11,18
GINS3,678,244,354,387,196,234
GINS4,665,204,286,298,263,333
GIP,0,0,0,0,0,0
GIPC1,1608,1018,877,1193,1550,1023
GIPC2,0,4,1,1,2,2
GIPC3,1056,1016,3566,3038,734,1214
GIPR,5,12,44,70,0,28
GIT1,3776,1684,3495,1754,3119,2139
GIT2,10128,8783,9338,6387,10191,8792
GJA1,7,1,0,1,0,2
GJA10,0,0,0,0,0,0
GJA3,9,94,9,102,2,24
GJA4,0,2,2,22,0,0
GJA5,37,5,67,2,37,30
GJA8,0,0,0,0,0,0
GJA9,0,0,0,0,0,0
GJA9-MYCBP,4,2,3,5,3,2
GJB1,1,1,1,0,0,0
GJB2,648,2223,222,2829,480,2003
GJB3,0,1,5,5,0,0
GJB4,1,1,1,1,0,1
GJB5,1,4,0,3,0,0
GJB6,13,1,6,7,15,0
GJB7,2,1,2,3,3,4
GJC1,8,3,36,16,3,8
GJC2,2,4,3,5,1,2
GJC3,1,1,0,0,0,0
GJD2,0,0,0,0,0,0
GJD3,172,292,228,400,232,329
GJD4,2,0,2,4,5,0
GK,2055,15143,3908,18763,2568,14745
GK2,0,0,0,0,0,0
GK3P,9,42,16,41,7,17
GK5,1097,1301,1157,1072,1049,1400
GKAP1,39,19,14,32,50,26
GKN1,0,0,0,0,0,0
GKN2,0,0,0,0,0,0
GLA,5472,7093,6312,5217,5896,7369
GLB1,5990,4678,6214,5660,9935,5369
GLB1L,86,80,851,526,1177,592
GLB1L2,339,8,44,2,13,4
GLB1L3,1,1,0,1,0,0
GLCCI1,602,84,527,92,572,106
GLCE,2088,1375,1329,1323,1404,1467
GLDC,10,2,1,1,2,1
GLDN,131,25,229,180,313,309
GLE1,3641,3376,3181,3391,3105,3534
GLG1,11681,10561,9777,9820,11239,9791
GLI1,45,15,12,15,22,25
GLI2,0,0,0,0,0,0
GLI3,35,31,92,62,16,33
GLI4,244,176,188,199,310,211
GLIDR,72,48,42,40,57,30
GLIPR1,12711,4745,18826,3292,13292,7187
GLIPR1L1,21,19,35,20,25,20
GLIPR1L2,15,12,16,15,20,19
GLIPR2,3272,11262,4541,7279,6479,14666
GLIS1,0,0,0,1,1,0
GLIS2,71,60,73,51,50,32
GLIS3,115,99,240,938,122,661
GLIS3-AS1,1,0,1,2,0,2
GLMN,419,257,357,225,309,251
GLO1,4402,2901,3602,3143,4378,2545
GLOD4,2407,1354,2171,1326,4708,2554
GLOD5,0,0,0,0,0,0
GLP1R,0,0,0,0,0,0
GLP2R,1,1,2,8,0,0
GLRA1,1,2,4,2,0,2
GLRA2,0,0,0,0,0,0
GLRA3,0,0,1,0,0,0
GLRA4,0,0,1,0,0,0
GLRB,0,0,3,0,1,1
GLRX,3508,7822,5406,7413,4761,8181
GLRX2,773,512,804,448,595,566
GLRX3,4353,2358,4189,2202,3278,2639
GLRX5,2113,722,1408,543,1312,719
GLS,9487,10935,21194,21116,6120,11572
GLS2,76,52,71,45,75,43
GLT1D1,161,244,106,101,116,118
GLT6D1,0,0,0,0,0,0
GLT8D1,1154,923,1157,1092,1158,925
GLT8D2,21,8,24,19,15,9
GLTP,2278,1769,1915,1565,2436,1956
GLTPD1,932,694,987,714,1040,732
GLTPD2,56,182,50,181,42,128
GLTSCR1,680,851,528,764,646,917
GLTSCR1L,1485,1799,1239,1985,1349,1744
GLTSCR2,3344,2989,2076,2881,3315,2450
GLUD1,11230,5592,8894,5485,10632,5408
GLUD1P3,443,269,274,205,364,260
GLUD1P7,22,4,8,3,1,0
GLUD2,36,15,20,11,30,13
GLUL,43608,99670,40267,55340,67178,62863
GLYAT,0,0,10,0,6,0
GLYATL1,13,0,1,0,9,0
GLYATL2,0,0,0,0,0,0
GLYATL3,0,0,0,0,0,1
GLYCAM1,0,0,0,0,0,0
GLYCTK,345,267,270,254,311,288
GLYR1,7636,6772,6369,5764,7153,6584
GM140,0,0,0,0,0,0
GM2A,89729,70968,198003,96120,116780,83441
GMCL1,1201,818,822,659,715,781
GMCL1P1,2,0,1,0,0,0
GMDS,464,141,287,144,333,100
GMDS-AS1,102,62,92,92,76,66
GMEB1,646,653,592,640,545,791
GMEB2,829,900,966,759,743,902
GMFB,7384,7421,7977,8056,8046,7001
GMFG,1821,1713,2124,1437,2119,2139
GMIP,8609,9326,7884,7809,8649,9734
GML,0,0,0,0,0,0
GMNC,7,1,1,2,7,3
GMNN,762,269,262,293,392,322
GMPPA,1830,1468,1631,1334,1854,1582
GMPPB,995,611,715,517,933,617
GMPR,352,1468,330,3545,283,1011
GMPR2,2477,1997,2003,1719,2583,1940
GMPS,2664,1115,1815,1041,1711,1352
GNA11,1833,1247,1731,1396,829,1155
GNA12,12913,13436,7666,11227,12410,13762
GNA13,9014,11521,11635,20479,9795,12740
GNA14,10,4,5,2,2,1
GNA15,4885,7100,2105,4080,4540,7897
GNAI1,62,5,65,19,33,21
GNAI2,37851,34889,28195,26420,40579,35743
GNAI3,5345,4844,5174,4998,6224,5387
GNAL,98,67,84,63,105,74
GNAO1,3,5,1,11,7,5
GNAQ,7947,5104,7984,5177,6607,5424
GNAS,42328,21686,41725,23134,44691,21890
GNAS-AS1,0,0,0,0,1,2
GNAT1,0,0,0,0,0,0
GNAT2,33,31,51,24,34,26
GNAT3,0,0,0,0,0,0
GNAZ,6,1,3,0,1,1
GNB1,24000,24252,22809,22614,24952,24449
GNB1L,153,50,82,34,165,47
GNB2,9627,8486,7675,8905,10009,8830
GNB2L1,24854,11266,15643,8524,19286,11350
GNB3,13,2,4,4,5,0
GNB4,8999,6883,5627,8032,11941,5484
GNB5,403,194,236,810,273,251
GNE,1360,1257,1169,1396,1418,1155
GNG10,8,29,29,13,17,51
GNG11,18,11,29,109,28,96
GNG12,690,138,85,124,566,205
GNG12-AS1,1,2,1,1,1,3
GNG13,2,1,1,0,2,1
GNG2,1644,239,572,636,977,570
GNG3,26,38,16,18,16,33
GNG4,0,0,0,9,0,2
GNG5,6062,5512,5624,5409,5786,5239
GNG7,35,14,125,14,131,20
GNG8,0,8,2,20,0,8
GNGT1,0,0,0,0,0,0
GNGT2,275,63,263,169,421,92
GNL1,1241,1408,1180,1583,1233,1679
GNL2,2991,2567,2435,2198,2477,2404
GNL3,4347,1500,2894,1417,2451,1499
GNL3L,3618,1743,2702,1630,2917,2032
GNLY,4,42,3,1,72,154
GNMT,18,17,11,12,27,9
GNN,22,21,18,22,25,16
GNPAT,2862,2086,2276,2076,2657,2205
GNPDA1,5383,1562,2840,1843,8056,2070
GNPDA2,792,616,703,560,565,550
GNPNAT1,2281,870,1272,785,1265,740
GNPTAB,12629,13059,12224,10555,12421,9973
GNPTG,5276,3866,5463,3819,6373,4161
GNRH1,122,119,132,105,134,121
GNRH2,13,3,7,10,5,3
GNRHR,16,13,26,10,14,4
GNRHR2,7,3,25,2,27,1
GNS,49465,63300,68075,62084,52355,50021
GOLGA1,1789,1727,1637,1630,2091,1904
GOLGA2,3711,3564,3829,3346,3701,4427
GOLGA2P2Y,0,0,0,0,0,0
GOLGA2P3Y,0,0,0,0,0,0
GOLGA2P5,15,24,18,69,35,39
GOLGA2P7,0,0,0,0,0,0
GOLGA3,6409,3984,6423,3885,5729,4053
GOLGA4,5325,5748,4692,5856,5634,6243
GOLGA5,2801,3063,2914,2824,2630,2992
GOLGA6A,0,0,0,1,0,0
GOLGA6B,2,2,2,1,1,2
GOLGA6C,0,1,0,0,1,0
GOLGA6D,0,0,0,0,0,0
GOLGA6L1,0,0,0,0,0,0
GOLGA6L10,4,6,4,7,16,7
GOLGA6L19,0,0,0,0,0,0
GOLGA6L2,0,0,0,0,0,1
GOLGA6L3,1,0,1,0,5,1
GOLGA6L4,1,1,12,12,23,4
GOLGA6L5P,37,20,29,79,78,44
GOLGA6L6,0,0,0,0,0,0
GOLGA6L7P,0,0,0,5,0,3
GOLGA6L9,33,25,22,34,21,30
GOLGA7,2952,3281,3797,2752,3027,3478
GOLGA7B,301,17,779,61,611,77
GOLGA8A,947,309,838,339,459,209
GOLGA8B,190,166,281,450,306,236
GOLGA8CP,0,0,0,0,0,0
GOLGA8DP,0,0,0,0,0,0
GOLGA8EP,1,0,0,0,0,0
GOLGA8F,0,0,0,0,0,0
GOLGA8G,0,0,0,0,0,0
GOLGA8H,157,160,127,347,347,278
GOLGA8I,1,0,0,0,1,1
GOLGA8J,10,13,2,18,25,14
GOLGA8K,36,53,19,58,58,53
GOLGA8M,2,10,5,4,9,12
GOLGA8N,131,105,95,70,178,87
GOLGA8O,20,18,9,20,51,21
GOLGA8R,74,76,53,37,198,113
GOLGA8S,8,1,1,1,3,1
GOLGA8T,9,2,1,13,5,3
GOLGB1,6760,6522,6224,7535,7277,7498
GOLIM4,5542,2863,4706,1613,4935,2903
GOLM1,1516,579,937,639,415,274
GOLPH3,5047,4570,4703,4524,5228,4472
GOLPH3L,901,660,449,686,869,794
GOLT1A,0,0,0,0,2,0
GOLT1B,3327,3326,3077,3315,2932,3066
GON4L,2427,3200,2449,2915,2501,3354
GOPC,2244,2190,1970,2436,2083,2069
GORAB,726,1163,670,1022,731,1110
GORASP1,2566,2950,2484,3119,3084,3000
GORASP2,5011,3592,4875,3510,5000,3859
GOSR1,3552,4024,3614,3398,3121,3988
GOSR2,2495,2260,2462,2182,2762,2634
GOT1,1239,648,1391,554,1150,734
GOT1L1,0,0,0,0,0,0
GOT2,5209,2084,4472,2066,3693,2160
GP1BA,111,414,871,1277,92,3581
GP1BB,0,0,0,0,0,0
GP2,0,0,0,0,0,0
GP5,0,7,8,6,3,4
GP6,1,5,6,7,11,8
GP9,0,2,0,2,0,0
GPA33,22,8,104,21,78,7
GPAA1,4274,2711,4401,2475,4808,2976
GPALPP1,680,719,676,668,681,754
GPAM,686,262,622,234,652,358
GPANK1,683,1348,658,1314,579,1341
GPAT2,828,91,4448,156,550,152
GPATCH1,605,498,439,432,504,520
GPATCH11,1530,901,1299,616,1533,1178
GPATCH2,519,481,471,421,485,577
GPATCH2L,4998,3636,6613,3428,5448,4357
GPATCH3,792,1050,670,1045,936,1112
GPATCH4,1849,597,1263,478,1241,643
GPATCH8,3942,5061,3605,4673,3842,5378
GPBAR1,148,74,30,85,240,70
GPBP1,2611,4251,2598,6258,2643,4121
GPBP1L1,5392,6493,5665,7151,5561,6790
GPC1,145,21,213,58,38,25
GPC2,66,11,5,1,93,10
GPC3,26,26,83,36,26,38
GPC4,16392,5739,49979,7949,10238,10001
GPC5,3,5,2,7,2,6
GPC5-AS1,0,0,0,0,0,0
GPC6,11,0,2,0,0,0
GPC6-AS1,0,0,0,0,0,0
GPC6-AS2,0,0,0,0,0,0
GPCPD1,3216,4670,3163,2805,4273,4054
GPD1,821,83,3160,98,1722,281
GPD1L,1350,128,897,96,1080,122
GPD2,5515,14764,7263,11841,5004,12180
GPER1,200,19,639,20,117,25
GPHA2,0,0,0,2,0,1
GPHB5,0,0,0,0,0,0
GPHN,741,340,673,244,505,339
GPI,19789,8410,18701,5667,15558,7911
GPIHBP1,1,0,0,1,0,0
GPKOW,629,916,686,940,724,937
GPLD1,36,11,51,2,50,7
GPM6A,0,0,0,0,0,0
GPM6B,40,61,43,78,72,80
GPN1,1739,1056,1164,957,1512,1076
GPN2,911,883,806,864,921,1000
GPN3,826,628,554,506,862,514
GPNMB,168296,36391,171263,40487,309079,35120
GPR1,1,0,0,0,0,1
GPR1-AS,0,0,0,0,0,0
GPR101,0,0,0,0,0,0
GPR107,5288,8885,5713,8897,7109,8902
GPR108,3352,3654,3510,3118,3752,3668
GPR110,0,1,0,2,0,0
GPR111,0,0,0,0,0,0
GPR112,0,0,0,0,0,0
GPR113,43,40,18,59,23,41
GPR114,2,217,4,364,9,203
GPR115,1,0,6,4,1,1
GPR116,5,7,10,14,1,3
GPR119,0,0,0,0,0,0
GPR12,0,0,0,8,0,1
GPR123,0,0,0,0,0,0
GPR124,157,2120,15,83,40,573
GPR125,362,9,121,17,61,9
GPR126,134,25,230,13,351,68
GPR128,0,0,0,3,2703,2635
GPR132,757,2909,421,5694,754,2406
GPR133,145,70,469,331,124,58
GPR135,47,17,14,12,35,13
GPR137,1501,1496,1580,1420,1180,1432
GPR137B,3070,3185,3845,3685,3776,3558
GPR137C,87,18,78,22,53,24
GPR139,0,0,0,0,0,0
GPR141,1372,4105,998,4700,795,2663
GPR142,0,0,1,0,0,0
GPR143,6,0,2,0,0,1
GPR144,0,0,0,0,0,0
GPR146,75,29,165,26,130,36
GPR148,0,0,0,0,0,0
GPR149,0,0,0,0,0,0
GPR15,2,6,1,1,1,9
GPR150,31,10,49,31,29,9
GPR151,1,0,2,0,1,0
GPR152,1,0,2,4,11,4
GPR153,198,83,465,100,211,87
GPR155,624,234,431,319,811,251
GPR156,38,26,120,18,16,21
GPR157,212,1072,263,5779,321,923
GPR158,0,0,0,0,0,0
GPR158-AS1,0,0,0,0,0,0
GPR160,465,443,215,1484,941,340
GPR161,285,254,102,353,236,302
GPR162,434,976,421,480,503,748
GPR17,6,1,1,1,3,0
GPR171,8,50,5,38,37,101
GPR173,14,12,8,9,14,0
GPR174,5,20,6,10,22,52
GPR176,18,15,37,13,13,26
GPR179,4,0,6,8,2,2
GPR18,14,26,5,17,28,24
GPR180,1429,1250,1165,2070,1406,1221
GPR182,0,0,0,0,1,0
GPR183,5196,6494,3358,14971,5739,9483
GPR19,10,4,0,3,2,1
GPR20,2,0,0,0,0,0
GPR21,1,0,1,1,1,1
GPR22,0,0,0,3,0,1
GPR25,1,0,0,0,3,0
GPR26,0,0,0,0,0,0
GPR27,119,14,49,9,45,11
GPR3,34,7,45,7,24,5
GPR31,11,1,0,2,2,0
GPR32,0,0,0,0,0,0
GPR33,2,1,2,0,1,0
GPR34,2413,135,917,56,6257,208
GPR35,934,726,1313,679,1595,1197
GPR37,3,4,1,4,2,0
GPR37L1,0,0,0,2,0,1
GPR39,43,1,3,2,11,1
GPR4,0,0,0,3,0,0
GPR45,8,14,7,10,24,5
GPR50,0,0,0,0,0,0
GPR52,3,1,0,2,0,4
GPR55,4,4,2,19,8,3
GPR56,2,10,40,15,18,16
GPR6,0,0,0,0,0,0
GPR61,1,1,5,1,2,2
GPR62,0,0,0,0,0,0
GPR63,43,6,10,8,4,2
GPR64,109,842,372,1583,31,541
GPR65,2771,1577,1062,670,4254,1905
GPR68,5737,11216,7611,6978,4846,12424
GPR75,123,57,50,27,99,67
GPR75-ASB3,0,0,0,0,0,0
GPR78,0,0,0,0,0,0
GPR82,881,683,303,142,965,899
GPR83,4,3,5,1,2,3
GPR84,2506,5349,770,3688,3308,6965
GPR85,5,7,2,4,2,8
GPR87,0,0,0,0,0,0
GPR88,13,0,6,0,2,3
GPR89A,179,140,123,112,159,139
GPR89B,123,115,109,106,114,140
GPR97,0,9,0,9,0,10
GPR98,2,1,4,2,1,2
GPRASP1,34,72,49,33,71,85
GPRASP2,3,0,3,2,0,1
GPRC5A,0,8,6,6,0,18
GPRC5B,6,2,7,2,6,0
GPRC5C,25,5,16,30,11,9
GPRC5D,1,4,3,6,4,5
GPRC6A,0,0,0,1,0,0
GPRIN1,113,88,69,188,64,96
GPRIN2,0,1,0,0,0,0
GPRIN3,9243,7911,10138,5848,12685,8896
GPS1,3523,1898,2403,1763,3280,1914
GPS2,2129,1970,1679,1961,2623,2391
GPSM1,282,143,363,150,234,138
GPSM2,404,107,145,122,131,128
GPSM3,6057,8229,4879,6346,7223,9241
GPT,78,27,53,23,53,29
GPT2,375,67,237,100,159,58
GPX1,43009,19788,35547,18694,43011,17882
GPX2,8,12,9,12,19,15
GPX3,1476,771,3911,944,3223,1626
GPX4,11314,9486,10004,11159,13002,8905
GPX5,0,0,0,0,0,0
GPX6,0,0,0,0,0,0
GPX7,119,13,122,27,17,17
GPX8,24,10,17,16,11,8
GRAMD1A,2435,36514,3450,45349,2304,29673
GRAMD1B,328,183,79,378,630,293
GRAMD1C,8,3,31,22,2,5
GRAMD2,11,4,21,4,10,3
GRAMD3,243,670,309,900,211,437
GRAMD4,4974,1022,2090,773,10765,1391
GRAP,162,148,192,157,323,172
GRAP2,7,40,19,10,84,63
GRAPL,1,0,1,0,0,0
GRASP,143,361,402,1924,65,381
GRB10,643,175,181,289,544,191
GRB14,0,0,0,0,1,1
GRB2,23225,28952,21159,22623,30425,28143
GRB7,2,1,0,2,0,0
GREB1,90,11,63,4,98,8
GREB1L,15,5,22,7,9,10
GREM1,1049,4275,6373,16726,408,3843
GREM2,0,0,0,0,1,0
